Case_Year,Case Number,Incident_DateTime,Borough,Battalion,Community_District,Precinct,Incident_Classification,Cause_Fire_Description,Fire_Code_Category
2024,30304,03/23/2024 10:45:00 AM,Brooklyn,39,5,75,MD Residential Structure,Incendiary,Incendiary
2024,30305,03/23/2024 11:10:00 AM,Brooklyn,58,18,63,Vehicle,Preliminary Investigation Only,Other
2024,10142,03/23/2024 03:40:00 PM,Manhattan,16,10,32,Vehicle,Preliminary Investigation Only,Other
2024,40295,03/23/2024 05:16:00 PM,Queens,49,3,115,MFA,Other - No Fire,No Fire
2024,40296,03/23/2024 05:30:00 PM,Queens,50,8,103,Commercial Structure,Stove/Cooking - Fryer,Cooking
2024,20248,03/23/2024 08:59:00 PM,Bronx,3,9,43,Vehicle,Smoking (Cigarette/Cigar),Smoking
2024,10143,03/23/2024 10:58:00 PM,Manhattan,2,2,6,MD Residential Structure,Preliminary Investigation Only,Other
2024,20249,03/23/2024 11:43:00 PM,Bronx,26,1,42,MD Residential Structure,Incendiary - Combustible Material,Incendiary
2024,30306,03/24/2024 09:24:00 AM,Brooklyn,40,10,68,Vehicle,Preliminary Investigation Only,Other
2024,30307,03/24/2024 11:39:00 AM,Brooklyn,57,3,79,Commercial Structure,Preliminary Investigation Only,Other
2024,10144,03/24/2024 12:10:00 PM,Manhattan,4,3,5,MD Residential Structure,Cooking Fire Extending to Clothing or Combustibles,Cooking
2024,30308,03/24/2024 01:26:00 PM,Brooklyn,58,17,67,PD Residential Structure,Electrical Wiring,Electrical
2024,10145,03/24/2024 01:52:00 PM,Manhattan,1,1,1,Vehicle,Preliminary Investigation Only,Other
2024,40301,03/24/2024 06:32:00 PM,Queens,53,11,111,Vehicle,Incendiary,Incendiary
2024,20250,03/24/2024 06:40:00 PM,Bronx,17,4,44,Vehicle,Preliminary Investigation Only,Other
2024,10147,03/24/2024 07:23:00 PM,Manhattan,6,2,6,MD Residential Structure,Extension Cord,Electrical
2024,50048,03/24/2024 10:13:00 PM,Staten Island,21,2,122,MD Residential Structure,Incendiary,Incendiary
2024,40306,03/25/2024 12:01:00 AM,Queens,54,Out of NYC,0,Vehicle,Preliminary Investigation Only,Other
2024,40310,03/25/2024 06:20:00 AM,Queens,53,7,111,Vehicle,Preliminary Investigation Only,Other
2024,20251,03/25/2024 09:55:00 AM,Bronx,3,9,43,Vehicle,Preliminary Investigation Only,Other
2024,20252,03/25/2024 10:31:00 AM,Bronx,3,9,43,MD Residential Structure,Electrical Wiring,Electrical
2024,20253,03/25/2024 11:54:00 AM,Bronx,17,4,44,Vehicle,Preliminary Investigation Only,Other
