Genre,Creative Type,Content Rating,Worldwide Gross
Adventure,Science Fiction,PG,36751979
Adventure,Kids Fiction,G,227793915
Romantic Comedy,Contemporary Fiction,R,149270999
Drama,Historical Fiction,R,215300000
Drama,Dramatization,PG-13,328711434
Comedy,Contemporary Fiction,R,277200000
Comedy,Contemporary Fiction,PG,69688384
Action,Super Hero,PG-13,334627820
Thriller,Contemporary Fiction,PG-13,288693989
Horror,Science Fiction,R,191200000
Adventure,Science Fiction,PG-13,128874043
Drama,Contemporary Fiction,PG-13,90717684
Thriller,Fantasy,R,40435694
Comedy,Contemporary Fiction,PG-13,50054511
Concert,Factual,R,38236338
Thriller,Contemporary Fiction,R,30199105
Comedy,Contemporary Fiction,PG-13,90453550
Black Comedy,Contemporary Fiction,R,27732366
Comedy,Dramatization,R,47371191
Comedy,Contemporary Fiction,PG-13,20695413
Drama,Contemporary Fiction,PG,136706683
Comedy,Contemporary Fiction,PG-13,301500000
Drama,Contemporary Fiction,PG-13,109280263
Comedy,Contemporary Fiction,PG-13,90376224
Drama,Contemporary Fiction,PG-13,33508922
Adventure,Contemporary Fiction,PG-13,263200000
Drama,Historical Fiction,PG-13,39235486
Action,Science Fiction,PG-13,96024898
Comedy,Kids Fiction,PG,345141403
Comedy,Kids Fiction,G,66941559
Thriller,Super Hero,PG-13,248099143
Action,Contemporary Fiction,R,62761005
Action,Contemporary Fiction,PG-13,213500000
Drama,Historical Fiction,PG-13,152500343
Adventure,Kids Fiction,G,169296573
Romantic Comedy,Contemporary Fiction,PG-13,372100000
Drama,Contemporary Fiction,PG-13,80013623
Drama,Contemporary Fiction,PG-13,427230516
Comedy,Contemporary Fiction,PG-13,124715863
Comedy,Contemporary Fiction,PG-13,212100000
Drama,Dramatization,PG-13,66554547
Drama,Contemporary Fiction,R,208300000
Romantic Comedy,Contemporary Fiction,PG-13,94728529
Horror,Contemporary Fiction,R,350100280
Comedy,Fantasy,PG-13,71172251
